iter	Passed	Remaining
0	153	153176
1	155	77391
2	156	52007
3	157	39324
4	159	31788
5	161	26762
6	162	23107
7	164	20373
8	166	18300
9	167	16630
10	169	15239
11	172	14200
12	173	13208
13	175	12380
14	180	11853
15	182	11209
16	183	10617
17	185	10111
18	186	9641
19	188	9215
20	189	8852
21	192	8559
22	194	8247
23	195	7946
24	197	7688
25	198	7445
26	200	7217
27	204	7095
28	206	6912
29	207	6715
30	209	6541
31	210	6379
32	212	6216
33	213	6079
34	217	5989
35	218	5859
36	220	5729
37	221	5605
38	223	5504
39	224	5398
40	227	5317
41	230	5255
42	231	5158
43	233	5064
44	234	4972
45	235	4889
46	237	4822
47	257	5109
48	259	5032
49	260	4951
50	262	4885
51	264	4818
52	265	4749
53	268	4702
54	270	4654
55	272	4593
56	273	4532
57	275	4469
58	276	4413
59	278	4360
60	319	4913
61	330	4997
62	332	4949
63	334	4891
64	336	4841
65	338	4787
66	339	4734
67	340	4672
68	342	4624
69	344	4579
70	346	4534
71	348	4489
72	352	4476
73	364	4556
74	366	4515
75	367	4469
76	370	4443
77	373	4412
78	374	4368
79	375	4323
80	377	4278
81	378	4238
82	380	4200
83	382	4169
84	383	4132
85	385	4100
86	387	4062
87	388	4027
88	390	3992
89	391	3956
90	392	3920
91	394	3888
92	397	3879
93	399	3850
94	401	3820
95	402	3788
96	403	3758
97	405	3731
98	407	3711
99	411	3706
100	413	3678
101	413	3644
102	415	3616
103	416	3589
104	418	3565
105	419	3539
106	423	3533
107	425	3512
108	426	3488
109	428	3464
110	429	3441
111	431	3421
112	433	3400
113	435	3380
114	437	3365
115	438	3343
116	439	3320
117	441	3297
118	442	3275
119	444	3258
120	445	3238
121	449	3233
122	450	3212
123	452	3194
124	453	3176
125	455	3161
126	457	3142
127	458	3124
128	462	3125
129	465	3113
130	466	3096
131	468	3079
132	469	3062
133	471	3049
134	474	3037
135	475	3023
136	477	3009
137	478	2991
138	480	2976
139	481	2959
140	483	2943
141	485	2935
142	488	2926
143	490	2915
144	492	2901
145	493	2886
146	494	2871
147	495	2855
148	499	2852
149	501	2841
150	503	2828
151	504	2815
152	506	2802
153	507	2790
154	511	2786
155	514	2781
156	516	2771
157	518	2764
158	520	2755
159	523	2746
160	527	2747
161	529	2737
162	531	2728
163	534	2726
164	544	2753
165	547	2752
166	550	2746
167	555	2751
168	558	2748
169	564	2753
170	566	2746
171	568	2736
172	573	2740
173	575	2734
174	578	2725
175	580	2716
176	582	2706
177	583	2696
178	588	2699
179	590	2690
180	592	2678
181	593	2669
182	595	2657
183	597	2649
184	599	2642
185	603	2641
186	605	2631
187	606	2620
188	609	2616
189	611	2609
190	615	2608
191	617	2598
192	619	2588
193	622	2588
194	625	2582
195	627	2575
196	630	2568
197	632	2563
198	635	2558
199	638	2554
200	640	2545
201	642	2536
202	645	2534
203	647	2526
204	650	2523
205	652	2514
206	654	2505
207	655	2495
208	659	2495
209	662	2492
210	664	2484
211	667	2480
212	668	2471
213	672	2471
214	676	2468
215	677	2460
216	679	2453
217	681	2445
218	683	2437
219	686	2433
220	688	2426
221	690	2418
222	692	2414
223	694	2405
224	695	2395
225	697	2388
226	699	2382
227	701	2375
228	702	2366
229	704	2356
230	706	2350
231	707	2342
232	708	2333
233	713	2334
234	714	2326
235	716	2320
236	718	2313
237	720	2306
238	726	2312
239	728	2305
240	730	2300
241	732	2294
242	734	2288
243	736	2282
244	739	2277
245	742	2274
246	743	2267
247	745	2259
248	746	2252
249	748	2245
250	750	2240
251	753	2235
252	755	2229
253	756	2222
254	758	2215
255	759	2207
256	763	2207
257	765	2201
258	768	2199
259	770	2191
260	771	2184
261	772	2176
262	774	2170
263	776	2165
264	779	2162
265	781	2155
266	782	2148
267	783	2141
268	785	2135
269	788	2130
270	789	2124
271	792	2120
272	793	2113
273	795	2107
274	796	2100
275	798	2094
276	801	2091
277	803	2087
278	806	2082
279	807	2076
280	809	2070
281	810	2063
282	812	2058
283	814	2054
284	816	2049
285	818	2043
286	820	2038
287	822	2032
288	824	2027
289	826	2024
290	828	2018
291	830	2014
292	832	2008
293	833	2002
294	835	1996
295	837	1992
296	840	1989
297	842	1984
298	844	1979
299	845	1972
300	847	1967
301	849	1962
302	850	1957
303	852	1952
304	854	1947
305	855	1940
306	856	1933
307	858	1928
308	861	1925
309	863	1921
310	865	1916
311	866	1911
312	868	1905
313	869	1899
314	870	1893
315	872	1889
316	874	1883
317	876	1879
318	877	1873
319	878	1866
320	879	1860
321	880	1853
322	881	1847
323	882	1841
324	886	1840
325	889	1838
326	890	1832
327	891	1826
328	892	1821
329	894	1816
330	895	1810
331	943	1899
332	946	1895
333	947	1889
334	948	1883
335	949	1876
336	950	1870
337	951	1864
338	952	1857
339	953	1851
340	954	1845
341	955	1838
342	956	1832
343	957	1826
344	958	1820
345	964	1823
346	967	1819
347	968	1813
348	968	1807
349	969	1800
350	970	1794
351	971	1789
352	973	1784
353	974	1779
354	975	1772
355	976	1766
356	977	1760
357	978	1754
358	979	1748
359	979	1742
360	980	1735
361	981	1729
362	982	1724
363	983	1718
364	985	1713
365	986	1708
366	987	1703
367	988	1697
368	988	1691
369	989	1685
370	990	1679
371	991	1673
372	992	1668
373	993	1662
374	993	1656
375	994	1650
376	995	1645
377	997	1642
378	998	1636
379	999	1631
380	1000	1625
381	1001	1620
382	1002	1614
383	1003	1609
384	1004	1603
385	1004	1598
386	1005	1592
387	1006	1587
388	1007	1582
389	1008	1577
390	1009	1571
391	1010	1567
392	1011	1562
393	1012	1557
394	1013	1551
395	1013	1546
396	1014	1541
397	1015	1536
398	1016	1531
399	1017	1526
400	1018	1521
401	1019	1515
402	1019	1510
403	1021	1506
404	1022	1502
405	1024	1498
406	1024	1493
407	1025	1488
408	1026	1483
409	1027	1478
410	1028	1473
411	1029	1468
412	1029	1463
413	1030	1459
414	1031	1454
415	1032	1449
416	1033	1444
417	1036	1442
418	1037	1438
419	1038	1433
420	1039	1429
421	1039	1424
422	1040	1419
423	1042	1415
424	1042	1410
425	1043	1406
426	1044	1401
427	1045	1396
428	1045	1392
429	1047	1388
430	1048	1384
431	1050	1381
432	1051	1377
433	1052	1373
434	1053	1368
435	1054	1364
436	1055	1359
437	1055	1354
438	1056	1350
